year,region,esub1,esubneg1,esub2,C,P,mu,beta,sst,S,CO2atm
1862,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.7,32.07,288.7866667
1863,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.83,32.07,288.86
1864,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.8,32.07,288.9333333
1865,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.74,32.07,289.0066667
1866,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.52,32.07,289.08
1867,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.84,32.07,289.1533333
1868,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.73,32.07,289.2266667
1869,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.95,32.07,289.3
1870,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.65,32.07,289.34
1871,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.8,32.23,289.38
1872,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.43,32.06,289.42
1873,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.01,32.02,289.46
1874,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.38,32.08,289.5
1875,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.18,32.13,289.7
1876,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.71,32.13,289.9
1877,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.1,32.14,290.1
1878,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.28,32.14,290.3
1879,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.03,32.13,290.5222222
1880,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.86,32.09,290.7444444
1881,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.13,32.02,290.9666667
1882,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.97,32.05,291.1888889
1883,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.45,32.07,291.4111111
1884,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.88,32.05,291.6333333
1885,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.73,31.99,291.8555556
1886,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.39,32.04,292.0777778
1887,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.69,32.09,292.3
1888,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,9.05,32.05,292.5916667
1889,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.69,31.96,292.8833333
1890,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.27,32.00,293.175
1891,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.52,32.01,293.4666667
1892,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.82,32.09,293.7583333
1893,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.94,32.08,294.05
1894,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.53,32.15,294.3416667
1895,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.19,32.14,294.6333333
1896,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.28,32.13,294.925
1897,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.71,32.15,295.2166667
1898,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.43,32.19,295.5083333
1899,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.48,32.16,295.8
1900,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.13,32.07,295.55
1901,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.46,32.07,295.3
1902,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.6,32.08,295.05
1903,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.51,32.08,294.8
1904,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.12,32.08,296.85
1905,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.4,32.16,296.9
1906,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.41,32.21,297.475
1907,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.08,32.20,298.05
1908,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.11,32.28,298.625
1909,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,5.95,32.27,299.2
1910,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.12,32.21,299.4166667
1911,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.81,32.29,299.6333333
1912,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.66,32.17,299.85
1913,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.52,32.25,300.0666667
1914,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.18,32.25,300.2833333
1915,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.13,32.29,300.5
1916,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.3,32.31,300.6833333
1917,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.89,32.23,300.8666667
1918,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.65,32.20,301.05
1919,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.8,32.19,301.2333333
1920,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.03,32.20,301.4166667
1921,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.22,32.32,301.6
1922,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.21,32.31,302.25
1923,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.58,32.28,302.9
1924,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.05,32.27,303.55
1925,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.02,32.26,304.2
1926,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.66,32.16,304.85
1927,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.53,32.34,305.5
1928,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.14,32.41,305.6375
1929,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.07,32.39,305.775
1930,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.59,32.33,305.9125
1931,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.59,32.21,306.05
1932,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.3,32.25,306.1875
1933,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.15,32.34,306.325
1934,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.79,32.25,306.4625
1935,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.91,32.23,306.6
1936,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,9.07,32.23,306.7625
1937,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.2,32.26,306.925
1938,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.33,32.30,307.0875
1939,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.26,32.28,307.25
1940,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.27,32.27,307.4125
1941,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,9.01,32.29,307.575
1942,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.65,32.31,307.7375
1943,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.23,32.47,307.9
1944,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.91,32.53,308.38
1945,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.24,32.51,308.86
1946,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.69,32.76,309.34
1947,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.1,32.68,309.82
1948,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.15,32.62,310.3
1949,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.18,32.56,310.78
1950,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.99,32.55,311.26
1951,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.57,32.41,311.74
1952,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.48,32.41,312.22
1953,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.76,32.56,312.7
1954,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.88,32.63,313.25
1955,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.46,32.46,313.8
1956,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.54,32.61,314.35
1957,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.58,32.56,314.9
1958,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.45,32.40,315.45
1959,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.19,32.53,316
1960,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.76,32.51,316.91
1961,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.02,32.49,317.63
1962,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.98,32.44,318.46
1963,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.38,32.38,319.02
1964,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.54,32.34,319.52
1965,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.21,32.49,320.09
1966,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.26,32.50,321.34
1967,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.81,32.46,322.13
1968,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.74,32.45,323.11
1969,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.34,32.41,324.6
1970,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.75,32.42,325.65
1971,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.58,32.47,326.32
1972,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.73,32.49,327.52
1973,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.92,32.39,329.61
1974,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.63,32.42,330.29
1975,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,6.85,32.53,331.16
1976,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.17,32.60,332.18
1977,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.12,32.45,333.88
1978,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.66,32.59,335.52
1979,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.25,32.43,336.89
1980,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.69,32.36,338.67
1981,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.37,32.26,339.95
1982,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.28,32.38,341.09
1983,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.38,32.33,342.75
1984,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.5,32.36,344.44
1985,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.54,32.42,345.86
1986,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.01,32.33,347.14
1987,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.06,32.30,348.99
1988,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.72,32.37,351.44
1989,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.94,32.43,352.94
1990,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.8,32.43,354.19
1991,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.64,32.37,355.62
1992,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.75,32.28,356.36
1993,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.32,32.27,357.1
1994,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.95,32.29,358.86
1995,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.58,32.40,360.9
1996,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.81,32.50,362.58
1997,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.61,32.43,363.84
1998,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.23,32.25,366.58
1999,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.26,32.38,368.3
2000,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.61,32.42,369.47
2001,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.72,32.39,371.04
2002,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.08,32.48,373.08
2003,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.52,32.29,375.61
2004,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.41,32.29,377.43
2005,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.74,32.34,379.6
2006,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.71,32.36,381.8
2007,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.38,32.48,383.6
2008,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.14,32.44,385.5
2009,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.37,32.50,387.4
2010,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.84,32.43,389.9
2011,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.62,32.50,391.6
2012,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,7.07,32.68,393.9
2013,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.04,32.60,396.6
2014,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,9.12,32.43,398.6
2015,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,9.12,32.24,400.9
2016,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,9.38,32.35,404.3
2017,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.29,32.49,406.6
2018,Gulf of Alaska,1,1,26.5,1.09E-09,4.57E-10,0.5,0.2,8.8,32.40,408.6
