year,region,r,C,P,mu,beta,sst,sss,CO2atm,up.con
1952,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.48,32.41,312.22,0.014
1953,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.76,32.56,312.7,0.014
1954,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.88,32.63,313.25,0.014
1955,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.46,32.46,313.8,0.014
1956,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.54,32.61,314.35,0.014
1957,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.58,32.56,314.9,0.014
1958,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.45,32.4,315.45,0.014
1959,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.19,32.53,315.97,0.014
1960,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.76,32.51,316.91,0.014
1961,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.02,32.49,317.64,0.014
1962,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.98,32.44,318.45,0.014
1963,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.38,32.38,318.99,0.014
1964,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.54,32.34,319.62,0.014
1965,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.21,32.49,320.04,0.014
1966,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.26,32.5,321.38,0.014
1967,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.81,32.46,322.16,0.014
1968,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.74,32.45,323.04,0.014
1969,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.34,32.41,324.62,0.014
1970,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.75,32.42,325.68,0.014
1971,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,6.58,32.47,326.32,0.014
1972,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,6.73,32.49,327.45,0.014
1973,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,6.92,32.39,329.68,0.014
1974,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.63,32.42,330.18,0.014
1975,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,6.85,32.53,331.11,0.014
1976,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.17,32.6,332.04,0.014
1977,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.12,32.45,333.83,0.014
1978,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.66,32.59,335.4,0.014
1979,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.25,32.43,336.84,0.014
1980,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.69,32.36,338.75,0.014
1981,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.37,32.26,340.11,0.014
1982,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.28,32.38,341.45,0.014
1983,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.38,32.33,343.05,0.014
1984,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.5,32.36,344.65,0.014
1985,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.54,32.42,346.12,0.014
1986,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.01,32.33,347.42,0.014
1987,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.06,32.3,349.19,0.014
1988,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.72,32.37,351.57,0.014
1989,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.94,32.43,353.12,0.014
1990,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.8,32.43,354.39,0.014
1991,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.64,32.37,355.61,0.014
1992,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.75,32.28,356.45,0.014
1993,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.32,32.27,357.1,0.014
1994,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.95,32.29,358.83,0.014
1995,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.58,32.4,360.82,0.014
1996,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.81,32.5,362.61,0.014
1997,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.61,32.43,363.73,0.014
1998,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.23,32.25,366.7,0.014
1999,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.26,32.38,368.38,0.014
2000,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.61,32.42,369.55,0.014
2001,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.72,32.39,371.14,0.014
2002,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.08,32.48,373.28,0.014
2003,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.52,32.29,375.8,0.014
2004,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.41,32.29,377.52,0.014
2005,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.74,32.34,379.8,0.014
2006,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.71,32.36,381.9,0.014
2007,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.38,32.48,383.79,0.014
2008,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.14,32.44,385.6,0.014
2009,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.37,32.5,387.43,0.014
2010,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.84,32.43,389.9,0.014
2011,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.62,32.5,391.65,0.014
2012,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,7.07,32.68,393.85,0.014
2013,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.04,32.6,396.52,0.014
2014,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,9.13,32.43,398.65,0.014
2015,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,9.13,32.24,400.83,0.014
2016,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,9.39,32.35,404.24,0.014
2017,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.29,32.49,406.55,0.014
2018,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,8.8,32.4,408.52,0.014
2019,Gulf of Alaska,6,1.09E-09,4.57E-10,0.5,0.2,9.47,32.22,411.44,0.014
